SampleIndex,CAN_H_V,CAN_L_V
0,3.475123,1.532699
1,3.453415,1.571996
2,2.541233,2.445760
3,3.568026,1.418255
4,3.576574,1.428187
5,3.478164,1.441348
6,2.446714,2.515371
7,2.567859,2.580461
8,2.454213,2.480376
9,2.417287,2.487109
10,2.410418,2.467527
11,3.579538,1.565552
12,2.576598,2.480909
13,2.443417,2.597426
14,2.437026,2.442272
15,3.408538,1.481289
16,2.480855,2.424072
17,2.496547,2.426694
18,3.515468,1.534836
19,2.463908,2.491500
20,3.578957,1.407532
21,3.463365,1.505160
22,3.478093,1.412151
23,3.582776,1.543469
24,3.526524,1.414490
25,2.475104,2.559179
26,3.456672,1.417170
27,3.512829,1.460313
28,3.490034,1.567628
29,3.498950,1.488211
30,2.525786,2.533825
31,3.464007,1.531209
32,3.419704,1.543973
33,3.408614,1.483873
34,2.445125,2.586664
35,3.466121,1.541250
36,2.527722,2.446918
37,3.447136,1.591582
38,3.488528,1.432989
39,3.451496,1.592008
40,2.544699,2.485009
41,2.585473,2.588255
42,2.575078,2.563509
43,2.456748,2.424905
44,2.517815,2.446821
45,3.587909,1.417194
46,2.419243,2.473947
47,2.478159,2.484445
48,2.529046,2.420262
49,2.556481,2.518514
50,2.476106,2.460657
51,3.568228,1.418213
52,2.594429,2.583695
53,2.418401,2.440920
54,2.504315,2.547124
55,2.556560,2.415425
56,2.402744,2.465398
57,3.520444,1.493648
58,2.477152,2.480959
59,3.539993,1.458315
60,2.506770,2.557789
61,2.547785,2.545569
62,2.427971,2.537025
63,2.445661,2.525713
64,2.469464,2.429199
65,3.523001,1.580324
66,2.430562,2.535009
67,2.577837,2.412492
68,2.494327,2.460126
69,2.585257,2.476374
70,2.424534,2.455969
71,3.515527,1.418533
72,2.446864,2.448282
73,2.584909,2.581618
74,2.434432,2.417239
75,2.578831,2.441395
76,2.552081,2.548370
77,3.489523,1.497788
78,2.509368,2.527936
79,3.597998,1.540834
80,3.569312,1.481907
81,3.409145,1.460709
82,2.429263,2.406125
83,2.530750,2.421693
84,2.443688,2.477538
85,2.482573,2.469237
86,2.582045,2.577828
87,3.510851,1.402310
88,2.518630,2.572541
