SampleIndex,CAN_H_V,CAN_L_V
0,3.500000,1.500000
1,3.500000,1.500000
2,2.750000,2.750000
3,3.750000,1.750000
4,3.408030,1.408030
5,3.408030,1.408030
6,2.783834,2.783834
7,2.533834,2.533834
8,2.395583,2.395583
9,2.487553,2.487553
10,2.533834,2.533834
11,3.750000,1.750000
12,2.737553,2.737553
13,2.408030,2.408030
14,2.408030,2.408030
15,3.783834,1.783834
16,2.783834,2.783834
17,2.395583,2.395583
18,3.645583,1.645583
19,2.783834,2.783834
20,3.691864,1.691864
21,3.395583,1.395583
22,3.429417,1.429417
23,3.533834,1.533834
24,3.521387,1.521387
25,2.737553,2.737553
26,3.737553,1.737553
27,3.408030,1.408030
28,3.408030,1.408030
29,3.533834,1.533834
30,2.783834,2.783834
31,3.737553,1.737553
32,3.395583,1.395583
33,3.408030,1.408030
34,2.783834,2.783834
35,3.783834,1.783834
36,2.645583,2.645583
37,3.645583,1.645583
38,3.441864,1.441864
39,3.441864,1.441864
40,2.771387,2.771387
41,2.521387,2.521387
42,2.395583,2.395583
43,2.487553,2.487553
44,2.533834,2.533834
45,3.750000,1.750000
46,2.737553,2.737553
47,2.408030,2.408030
48,2.408030,2.408030
49,2.533834,2.533834
50,2.533834,2.533834
51,3.737553,1.737553
52,2.737553,2.737553
53,2.408030,2.408030
54,2.408030,2.408030
55,2.533834,2.533834
56,2.533834,2.533834
57,3.737553,1.737553
58,2.737553,2.737553
59,3.658030,1.658030
60,2.658030,2.658030
61,2.441864,2.441864
62,2.441864,2.441864
63,2.521387,2.521387
64,2.521387,2.521387
65,3.737553,1.737553
66,2.737553,2.737553
67,2.408030,2.408030
68,2.408030,2.408030
69,2.533834,2.533834
70,2.533834,2.533834
71,3.737553,1.737553
72,2.737553,2.737553
73,2.408030,2.408030
74,2.408030,2.408030
75,2.533834,2.533834
76,2.533834,2.533834
77,3.737553,1.737553
78,2.737553,2.737553
79,3.658030,1.658030
80,3.408030,1.408030
81,3.441864,1.441864
82,2.783834,2.783834
83,2.521387,2.521387
84,2.395583,2.395583
85,2.487553,2.487553
86,2.533834,2.533834
87,3.750000,1.750000
88,2.737553,2.737553
89,2.408030,2.408030
90,2.408030,2.408030
91,2.533834,2.533834
92,2.533834,2.533834
93,3.737553,1.737553
94,2.737553,2.737553
95,2.408030,2.408030
96,2.408030,2.408030
97,2.533834,2.533834
98,2.533834,2.533834
99,3.737553,1.737553
100,2.737553,2.737553
101,2.408030,2.408030
102,2.408030,2.408030
103,2.533834,2.533834
104,2.533834,2.533834
105,3.737553,1.737553
106,2.737553,2.737553
107,2.408030,2.408030
108,2.408030,2.408030
109,2.533834,2.533834
110,2.533834,2.533834
111,3.737553,1.737553
112,2.737553,2.737553
113,2.408030,2.408030
114,2.408030,2.408030
115,3.783834,1.783834
116,3.533834,1.533834
117,2.645583,2.645583
118,3.737553,1.737553
119,2.691864,2.691864
120,3.658030,1.658030
121,3.429417,1.429417
122,3.441864,1.441864
123,3.521387,1.521387
124,2.771387,2.771387
125,3.737553,1.737553
126,2.645583,2.645583
127,3.658030,1.658030
128,2.691864,2.691864
129,2.441864,2.441864
130,2.429417,2.429417
131,3.771387,1.771387
132,2.771387,2.771387
133,2.395583,2.395583
134,2.395583,2.395583
135,2.533834,2.533834
136,2.533834,2.533834
137,3.737553,1.737553
138,2.737553,2.737553
139,2.408030,2.408030
140,2.408030,2.408030
141,2.533834,2.533834
142,2.533834,2.533834
143,3.737553,1.737553
144,2.737553,2.737553
145,3.658030,1.658030
146,2.658030,2.658030
147,2.441864,2.441864
148,3.691864,1.691864
149,3.521387,1.521387
150,3.429417,1.429417
151,2.737553,2.737553
152,2.521387,2.521387
153,2.408030,2.408030
154,2.487553,2.487553
155,2.533834,2.533834
156,3.750000,1.750000
157,2.737553,2.737553
158,2.408030,2.408030
159,2.408030,2.408030
160,3.783834,1.783834
161,2.783834,2.783834
