SampleIndex,CAN_H_V,CAN_L_V
0,3.500000,1.500000
1,3.500000,1.500000
2,2.520000,2.520000
3,3.520000,1.520000
4,3.492642,1.492642
5,3.492642,1.492642
6,2.522707,2.522707
7,2.502707,2.502707
8,2.491647,2.491647
9,2.499004,2.499004
10,2.502707,2.502707
11,3.520000,1.520000
12,2.519004,2.519004
13,2.492642,2.492642
14,2.492642,2.492642
15,3.522707,1.522707
16,2.522707,2.522707
17,2.491647,2.491647
18,3.511647,1.511647
19,2.522707,2.522707
20,3.515349,1.515349
21,3.491647,1.491647
22,3.494353,1.494353
23,3.502707,1.502707
24,3.501711,1.501711
25,2.519004,2.519004
26,3.519004,1.519004
27,3.492642,1.492642
28,3.492642,1.492642
29,3.502707,1.502707
30,2.522707,2.522707
31,3.519004,1.519004
32,3.491647,1.491647
33,3.492642,1.492642
34,2.522707,2.522707
35,3.522707,1.522707
36,2.511647,2.511647
37,3.511647,1.511647
38,3.495349,1.495349
39,3.495349,1.495349
40,2.521711,2.521711
41,2.501711,2.501711
42,2.491647,2.491647
43,2.499004,2.499004
44,2.502707,2.502707
45,3.520000,1.520000
46,2.519004,2.519004
47,2.492642,2.492642
48,2.492642,2.492642
49,2.502707,2.502707
50,2.502707,2.502707
51,3.519004,1.519004
52,2.519004,2.519004
53,2.492642,2.492642
54,2.492642,2.492642
55,2.502707,2.502707
56,2.502707,2.502707
57,3.519004,1.519004
58,2.519004,2.519004
59,3.512642,1.512642
60,2.512642,2.512642
61,2.495349,2.495349
62,2.495349,2.495349
63,2.501711,2.501711
64,2.501711,2.501711
65,3.519004,1.519004
66,2.519004,2.519004
67,2.492642,2.492642
68,2.492642,2.492642
69,2.502707,2.502707
70,2.502707,2.502707
71,3.519004,1.519004
72,2.519004,2.519004
73,2.492642,2.492642
74,2.492642,2.492642
75,2.502707,2.502707
76,2.502707,2.502707
77,3.519004,1.519004
78,2.519004,2.519004
79,3.512642,1.512642
80,3.492642,1.492642
81,3.495349,1.495349
82,2.522707,2.522707
83,2.501711,2.501711
84,2.491647,2.491647
85,2.499004,2.499004
86,2.502707,2.502707
87,3.520000,1.520000
88,2.519004,2.519004
89,2.492642,2.492642
90,2.492642,2.492642
91,2.502707,2.502707
92,2.502707,2.502707
93,3.519004,1.519004
94,2.519004,2.519004
95,2.492642,2.492642
96,2.492642,2.492642
97,2.502707,2.502707
98,2.502707,2.502707
99,3.519004,1.519004
100,2.519004,2.519004
101,2.492642,2.492642
102,2.492642,2.492642
103,2.502707,2.502707
104,2.502707,2.502707
105,3.519004,1.519004
106,2.519004,2.519004
107,2.492642,2.492642
108,2.492642,2.492642
109,2.502707,2.502707
110,2.502707,2.502707
111,3.519004,1.519004
112,2.519004,2.519004
113,2.492642,2.492642
114,2.492642,2.492642
115,3.522707,1.522707
116,3.502707,1.502707
117,2.511647,2.511647
118,3.519004,1.519004
119,2.515349,2.515349
120,3.512642,1.512642
121,3.494353,1.494353
122,3.495349,1.495349
123,3.501711,1.501711
124,2.521711,2.521711
125,3.519004,1.519004
126,2.511647,2.511647
127,3.512642,1.512642
128,2.515349,2.515349
129,2.495349,2.495349
130,2.494353,2.494353
131,3.521711,1.521711
132,2.521711,2.521711
133,2.491647,2.491647
134,2.491647,2.491647
135,2.502707,2.502707
136,2.502707,2.502707
137,3.519004,1.519004
138,2.519004,2.519004
139,2.492642,2.492642
140,2.492642,2.492642
141,2.502707,2.502707
142,2.502707,2.502707
143,3.519004,1.519004
144,2.519004,2.519004
145,3.512642,1.512642
146,2.512642,2.512642
147,2.495349,2.495349
148,3.515349,1.515349
149,3.501711,1.501711
150,3.494353,1.494353
151,2.519004,2.519004
152,2.501711,2.501711
153,2.492642,2.492642
154,2.499004,2.499004
155,2.502707,2.502707
156,3.520000,1.520000
157,2.519004,2.519004
158,2.492642,2.492642
159,2.492642,2.492642
160,3.522707,1.522707
161,2.522707,2.522707
