CAN_H_V,CAN_L_V
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
2.500000,2.500000
