CAN_H_V,CAN_L_V
2.500000,2.500000
2.519633,2.480367
2.539254,2.460746
2.558852,2.441148
2.578414,2.421586
2.597929,2.402071
2.617384,2.382616
2.636770,2.363230
2.656072,2.343928
2.675281,2.324719
2.694384,2.305616
2.713370,2.286630
2.732228,2.267772
2.750945,2.249055
2.769512,2.230488
2.787916,2.212084
2.806147,2.193853
2.824193,2.175807
2.842044,2.157956
2.859689,2.140311
2.877117,2.122883
2.894319,2.105681
2.911282,2.088718
2.927998,2.072002
2.944456,2.055544
2.960647,2.039353
2.976559,2.023441
2.992185,2.007815
3.007515,1.992485
3.022538,1.977462
3.037247,1.962753
3.051632,1.948368
3.065685,1.934315
3.079398,1.920602
3.092761,1.907239
3.105767,1.894233
3.118408,1.881592
3.130677,1.869323
3.142566,1.857434
3.154068,1.845932
3.165176,1.834824
3.175883,1.824117
3.186183,1.813817
3.196070,1.803930
3.205537,1.794463
3.214579,1.785421
3.223191,1.776809
3.231368,1.768632
3.239104,1.760896
3.246394,1.753606
3.253235,1.746765
3.259623,1.740377
3.265552,1.734448
3.271021,1.728979
3.276025,1.723975
3.280562,1.719438
3.284628,1.715372
3.288222,1.711778
3.291341,1.708659
3.293984,1.706016
3.296148,1.703852
3.297832,1.702168
3.299036,1.700964
3.299759,1.700241
3.300000,1.700000
3.299759,1.700241
3.299036,1.700964
3.297832,1.702168
3.296148,1.703852
3.293984,1.706016
3.291341,1.708659
3.288222,1.711778
3.284628,1.715372
3.280562,1.719438
3.276025,1.723975
3.271021,1.728979
3.265552,1.734448
3.259623,1.740377
3.253235,1.746765
3.246394,1.753606
3.239104,1.760896
3.231368,1.768632
3.223191,1.776809
3.214579,1.785421
3.205537,1.794463
3.196070,1.803930
3.186183,1.813817
3.175883,1.824117
3.165176,1.834824
3.154068,1.845932
3.142566,1.857434
3.130677,1.869323
3.118408,1.881592
3.105767,1.894233
3.092761,1.907239
3.079398,1.920602
3.065685,1.934315
3.051632,1.948368
3.037247,1.962753
3.022538,1.977462
3.007515,1.992485
2.992185,2.007815
2.976559,2.023441
2.960647,2.039353
2.944456,2.055544
2.927998,2.072002
2.911282,2.088718
2.894319,2.105681
2.877117,2.122883
2.859689,2.140311
2.842044,2.157956
2.824193,2.175807
2.806147,2.193853
2.787916,2.212084
2.769512,2.230488
2.750945,2.249055
2.732228,2.267772
2.713370,2.286630
2.694384,2.305616
2.675281,2.324719
2.656072,2.343928
2.636770,2.363230
2.617384,2.382616
2.597929,2.402071
2.578414,2.421586
2.558852,2.441148
2.539254,2.460746
2.519633,2.480367
2.500000,2.500000
2.480367,2.519633
2.460746,2.539254
2.441148,2.558852
2.421586,2.578414
2.402071,2.597929
2.382616,2.617384
2.363230,2.636770
2.343928,2.656072
2.324719,2.675281
2.305616,2.694384
2.286630,2.713370
2.267772,2.732228
2.249055,2.750945
2.230488,2.769512
2.212084,2.787916
2.193853,2.806147
2.175807,2.824193
2.157956,2.842044
2.140311,2.859689
2.122883,2.877117
2.105681,2.894319
2.088718,2.911282
2.072002,2.927998
2.055544,2.944456
2.039353,2.960647
2.023441,2.976559
2.007815,2.992185
1.992485,3.007515
1.977462,3.022538
1.962753,3.037247
1.948368,3.051632
1.934315,3.065685
1.920602,3.079398
1.907239,3.092761
1.894233,3.105767
1.881592,3.118408
1.869323,3.130677
1.857434,3.142566
1.845932,3.154068
1.834824,3.165176
1.824117,3.175883
1.813817,3.186183
1.803930,3.196070
1.794463,3.205537
1.785421,3.214579
1.776809,3.223191
1.768632,3.231368
1.760896,3.239104
1.753606,3.246394
1.746765,3.253235
1.740377,3.259623
1.734448,3.265552
1.728979,3.271021
1.723975,3.276025
1.719438,3.280562
1.715372,3.284628
1.711778,3.288222
1.708659,3.291341
1.706016,3.293984
1.703852,3.296148
1.702168,3.297832
1.700964,3.299036
1.700241,3.299759
1.700000,3.300000
1.700241,3.299759
1.700964,3.299036
1.702168,3.297832
1.703852,3.296148
1.706016,3.293984
1.708659,3.291341
1.711778,3.288222
1.715372,3.284628
1.719438,3.280562
1.723975,3.276025
1.728979,3.271021
1.734448,3.265552
1.740377,3.259623
1.746765,3.253235
1.753606,3.246394
1.760896,3.239104
1.768632,3.231368
1.776809,3.223191
1.785421,3.214579
1.794463,3.205537
1.803930,3.196070
1.813817,3.186183
1.824117,3.175883
1.834824,3.165176
1.845932,3.154068
1.857434,3.142566
1.869323,3.130677
1.881592,3.118408
1.894233,3.105767
1.907239,3.092761
1.920602,3.079398
1.934315,3.065685
1.948368,3.051632
1.962753,3.037247
1.977462,3.022538
1.992485,3.007515
2.007815,2.992185
2.023441,2.976559
2.039353,2.960647
2.055544,2.944456
2.072002,2.927998
2.088718,2.911282
2.105681,2.894319
2.122883,2.877117
2.140311,2.859689
2.157956,2.842044
2.175807,2.824193
2.193853,2.806147
2.212084,2.787916
2.230488,2.769512
2.249055,2.750945
2.267772,2.732228
2.286630,2.713370
2.305616,2.694384
2.324719,2.675281
2.343928,2.656072
2.363230,2.636770
2.382616,2.617384
2.402071,2.597929
2.421586,2.578414
2.441148,2.558852
2.460746,2.539254
2.480367,2.519633
