CAN_H_V,CAN_L_V
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
3.500000,1.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
1.500000,3.500000
